PLAYER_NAME,BBR_PLAYER_ID,TEAM_ABBREVIATION,DWS,DBPM,DRB_PCT,STL_PCT,BLK_PCT
Kelly Oubre Jr.,oubreke01,PHI,1.6,-0.1,14.2,2.1,1.4
Peyton Watson,watsope01,DEN,1.6,-0.5,14.4,1.5,3.6
Trey Murphy III,murphtr02,NOP,1.6,-0.6,14.6,2.0,1.0
Shaedon Sharpe,sharpsh01,POR,1.6,-0.9,12.4,2.3,0.4
Ivica Zubac,zubaciv01,2TM,1.6,-0.9,27.2,0.6,2.6
Dillon Brooks,brookdi01,PHO,1.6,-1.3,10.8,1.7,0.5
Craig Porter Jr.,portecr01,CLE,1.5,1.9,12.9,2.4,3.1
Gary Payton II,paytoga02,GSW,1.5,1.3,16.3,2.8,1.7
Day'Ron Sharpe,sharpda01,BRK,1.5,1.0,25.7,2.9,2.1
Jarred Vanderbilt,vandeja01,LAL,1.5,0.9,21.3,2.4,1.6
Nic Claxton,claxtni01,BRK,1.5,0.6,19.9,1.2,3.7
Gui Santos,santogu01,GSW,1.5,0.3,15.6,2.1,1.5
Adem Bona,bonaad01,PHI,1.5,0.3,16.0,1.2,6.2
Kenrich Williams,willike04,OKC,1.5,0.3,15.6,1.8,0.6
De'Anthony Melton,meltode01,GSW,1.5,0.1,12.0,3.3,1.6
Pelle Larsson,larsspe01,MIA,1.5,0.0,9.9,1.2,0.8
Jrue Holiday,holidjr01,POR,1.5,-0.5,12.3,1.7,0.3
Jarace Walker,walkeja02,IND,1.5,-0.7,19.5,1.5,1.1
Ivica Zubac,zubaciv01,LAC,1.5,-0.7,27.7,0.6,2.6
Pascal Siakam,siakapa01,IND,1.5,-1.0,17.4,1.6,1.0
Dean Wade,wadede01,CLE,1.4,1.0,16.1,1.6,1.7
Will Richard,richawi02,GSW,1.4,0.9,8.7,2.8,0.6
Paul George,georgpa01,PHI,1.4,0.7,17.1,2.6,1.3
Luka Garza,garzalu01,BOS,1.4,0.2,12.0,1.2,2.5
Luke Kennard,kennalu01,2TM,1.4,0.1,10.0,1.6,0.4
Moses Moody,moodymo01,GSW,1.4,-0.3,11.0,1.8,2.0
Collin Sexton,sextoco01,2TM,1.4,-0.5,7.6,2.3,0.6
Max Christie,chrisma02,DAL,1.4,-0.6,10.9,1.0,1.0
Austin Reaves,reaveau01,LAL,1.4,-0.6,13.3,1.6,1.1
Jerami Grant,grantje01,POR,1.4,-0.9,9.3,1.2,1.9
Jeremiah Fears,fearsje01,NOP,1.4,-1.3,12.4,2.2,1.3
Al Horford,horfoal01,GSW,1.3,1.3,20.5,1.5,4.9
Kevin Porter Jr.,porteke02,MIL,1.3,1.2,14.6,3.2,1.5
Kris Murray,murrakr01,POR,1.3,0.8,9.6,1.8,1.5
Jaren Jackson Jr.,jacksja02,2TM,1.3,0.5,17.4,1.7,4.4
Sidy Cissoko,cissosi01,POR,1.3,0.5,8.0,1.7,1.5
Bones Hyland,hylanbo01,MIN,1.3,0.5,9.5,1.8,1.3
Jaren Jackson Jr.,jacksja02,MEM,1.3,0.4,17.4,1.6,4.5
Brandon Williams,willibr03,DAL,1.3,0.3,11.6,2.0,1.2
Vít Krejčí,krejcvi01,2TM,1.3,0.0,9.3,1.6,1.2
Nikola Vučević,vucevni01,CHI,1.3,-0.1,23.4,1.0,1.8
Joel Embiid,embiijo01,PHI,1.3,-0.2,20.0,0.8,3.6
Ayo Dosunmu,dosunay01,2TM,1.3,-0.3,10.7,1.5,0.8
Gradey Dick,dickgr01,TOR,1.3,-0.4,11.3,2.1,0.6
Kyle Filipowski,filipky01,UTA,1.3,-0.5,25.1,1.9,2.1
James Harden,hardeja01,LAC,1.3,-1.0,13.4,1.8,1.0
Michael Porter Jr.,portemi01,BRK,1.3,-1.2,21.7,1.6,0.7
John Konchar,konchjo01,2TM,1.2,2.2,16.5,3.5,3.2
Keon Ellis,elliske01,2TM,1.2,1.3,7.3,2.7,2.9
Josh Minott,minotjo01,2TM,1.2,1.1,14.8,2.6,2.8
Isaiah Jackson,jacksis01,2TM,1.2,0.8,21.8,1.9,4.8
Nicolas Batum,batumni01,LAC,1.2,0.7,14.1,1.8,1.7
Jaxson Hayes,hayesja02,LAL,1.2,0.4,16.1,1.2,4.0
Jose Alvarado,alvarjo01,2TM,1.2,0.3,11.6,2.3,0.6
Carter Bryant,bryanca01,SAS,1.2,0.2,17.9,0.9,2.5
Spencer Jones,jonessp01,DEN,1.2,0.0,10.1,1.8,1.9
Quinten Post,postqu01,GSW,1.2,-0.1,19.7,1.1,2.8
Simone Fontecchio,fontesi01,MIA,1.2,-0.2,13.8,1.5,0.7
CJ McCollum,mccolcj01,ATL,1.2,-0.7,8.3,1.6,2.0
Jared McCain,mccaija01,2TM,1.2,-0.8,10.6,1.5,0.4
Stephen Curry,curryst01,GSW,1.2,-1.0,11.7,1.8,1.2
Noah Clowney,clownno01,BRK,1.2,-1.1,15.3,1.4,2.3
Precious Achiuwa,achiupr01,SAC,1.2,-1.1,20.8,1.8,2.6
Bobby Portis,portibo01,MIL,1.2,-1.6,23.5,1.2,0.7
Giannis Antetokounmpo,antetgi01,MIL,1.1,1.8,27.4,1.6,2.3
Jusuf Nurkić,nurkiju01,UTA,1.1,1.6,32.6,2.3,2.0
Herbert Jones,joneshe01,NOP,1.1,0.6,9.8,2.7,1.6
Jimmy Butler,butleji01,GSW,1.1,0.5,11.8,2.3,0.6
Ziaire Williams,willizi02,BRK,1.1,0.4,10.0,2.9,1.5
Miles McBride,mcbrimi01,NYK,1.1,0.2,7.9,1.6,0.9
Tre Jones,jonestr01,CHI,1.1,0.1,9.9,2.0,0.5
Nae'Qwan Tomlin,tomlina01,CLE,1.1,0.1,10.9,2.0,3.2
Derrick Jones Jr.,jonesde02,LAC,1.1,-0.1,9.4,1.7,3.5
Rayan Rupert,ruperra01,2TM,1.1,-0.1,14.4,2.4,0.8
Franz Wagner,wagnefr01,ORL,1.1,-0.2,14.8,1.5,1.0
Yves Missi,missiyv01,NOP,1.1,-0.3,17.0,0.7,7.4
Jonas Valančiūnas,valanjo01,DEN,1.1,-0.5,27.5,0.8,4.0
Cedric Coward,cowarce01,MEM,1.1,-0.6,19.4,1.2,1.6
Jalen Smith,smithja04,CHI,1.1,-0.9,24.6,1.0,3.3
Jock Landale,landajo01,2TM,1.1,-1.0,14.9,1.1,2.2
Anfernee Simons,simonan01,BOS,1.1,-1.0,8.2,1.1,0.5
Anfernee Simons,simonan01,2TM,1.1,-1.3,8.1,1.0,0.6
Bennedict Mathurin,mathube01,2TM,1.1,-1.4,16.5,1.3,0.7
Rui Hachimura,hachiru01,LAL,1.1,-1.5,10.9,1.0,1.0
Matisse Thybulle,thybuma01,POR,1.0,6.1,9.6,6.0,3.0
Lonzo Ball,balllo01,CLE,1.0,1.8,17.2,3.0,1.2
Jayson Tatum,tatumja01,BOS,1.0,1.8,31.3,2.1,0.6
Dwight Powell,poweldw01,DAL,1.0,1.5,18.7,1.8,2.0
Mike Conley,conlemi01,MIN,1.0,1.0,8.2,1.7,1.2
Anthony Davis,davisan02,DAL,1.0,0.9,26.7,1.7,4.5
Jaylen Clark,clarkja02,MIN,1.0,0.7,8.0,2.5,0.9
Noah Penda,pendano01,ORL,1.0,0.6,17.9,1.9,2.2
Santi Aldama,aldamsa01,MEM,1.0,0.4,20.2,1.5,2.4
Kristaps Porziņģis,porzikr01,2TM,1.0,0.3,18.5,1.1,4.5
Branden Carlson,carlsbr01,OKC,1.0,0.3,20.3,0.8,5.4
Landry Shamet,shamela01,NYK,1.0,0.1,6.6,1.3,0.8
Vít Krejčí,krejcvi01,ATL,1.0,0.0,8.4,1.7,1.1
Nikola Jović,jovicni01,MIA,1.0,-0.1,16.5,1.5,1.9
Kobe Sanders,sandeko01,LAC,1.0,-0.2,10.4,1.8,0.7
Danny Wolf,wolfda01,BRK,1.0,-0.3,23.2,1.2,2.5
Steven Adams,adamsst01,HOU,1.0,-0.3,19.6,1.5,2.5
Jordan Miller,millejo02,LAC,1.0,-0.4,11.3,1.7,0.8
Tyler Herro,herroty01,MIA,1.0,-0.4,14.6,1.0,1.0
Guerschon Yabusele,yabusgu01,2TM,1.0,-0.5,19.0,1.2,1.5
Zion Williamson,willizi01,NOP,1.0,-0.6,13.5,1.6,1.7
Pat Spencer,spencpa01,GSW,1.0,-0.6,9.9,1.9,0.4
Cameron Johnson,johnsca02,DEN,1.0,-0.9,10.6,1.2,1.2
Jalen Green,greenja05,PHO,1.0,-0.9,13.9,2.0,0.9
Patrick Williams,willipa01,CHI,1.0,-1.1,11.8,1.6,1.5
Kyle Kuzma,kuzmaky01,MIL,1.0,-1.3,15.9,1.3,1.5
De'Andre Hunter,huntede01,CLE,1.0,-1.3,14.9,1.3,0.5
Jordan Clarkson,clarkjo01,NYK,1.0,-1.4,5.7,1.2,0.7
De'Andre Hunter,huntede01,2TM,1.0,-1.5,14.5,1.2,0.5
Maxime Raynaud,raynama01,SAC,1.0,-1.6,24.3,0.9,1.8
CJ McCollum,mccolcj01,2TM,1.0,-1.7,9.2,1.3,1.4
Saddiq Bey,beysa01,NOP,1.0,-1.8,13.5,1.4,0.3
Tim Hardaway Jr.,hardati02,DEN,1.0,-1.9,9.5,1.0,0.4
Caleb Martin,martica02,DAL,0.9,1.7,14.1,2.2,1.5
Kevin Huerter,huertke01,DET,0.9,1.4,12.9,2.6,1.4
Josh Green,greenjo02,CHO,0.9,1.0,7.0,1.9,0.6
Moussa Cisse,cissemo01,DAL,0.9,0.7,25.2,1.7,7.2
Justin Edwards,edwarju01,PHI,0.9,0.6,7.7,2.7,1.1
Kasparas Jakučionis,jakucka01,MIA,0.9,0.6,10.5,1.6,0.7
Dylan Cardwell,cardwdy01,SAC,0.9,0.6,23.5,1.6,6.8
Karlo Matković,matkoka01,NOP,0.9,0.4,18.8,1.3,5.6
Luke Kennard,kennalu01,ATL,0.9,0.3,9.3,1.7,0.5
Jaden Ivey,iveyja01,2TM,0.9,0.2,10.9,1.6,2.0
Alex Sarr,sarral01,WAS,0.9,-0.1,20.9,1.4,6.4
Collin Sexton,sextoco01,CHO,0.9,-0.4,7.3,1.9,0.7
Jonathan Kuminga,kuminjo01,2TM,0.9,-0.5,20.7,1.3,1.2
Thomas Bryant,bryanth01,CLE,0.9,-0.7,21.9,1.2,3.4
Rob Dillingham,dilliro01,2TM,0.9,-0.9,12.2,2.3,0.5
Russell Westbrook,westbru01,SAC,0.9,-1.0,16.6,2.2,0.6
Sam Merrill,merrisa01,CLE,0.9,-1.0,8.4,1.2,0.5
GG Jackson II,jacksgg01,MEM,0.9,-1.2,17.4,1.2,3.4
Ousmane Dieng,diengou01,2TM,0.9,-1.2,15.2,1.1,1.5
Klay Thompson,thompkl01,DAL,0.9,-1.5,8.8,1.0,1.2
Darius Garland,garlada01,2TM,0.9,-2.4,7.4,1.6,0.6
Keon Ellis,elliske01,CLE,0.8,1.7,8.7,2.5,3.2
Kyle Anderson,anderky01,3TM,0.8,1.7,13.8,2.5,2.8
